Titre,Note,Prix,Moniteur_Taille_ecran_(pouces),Moniteur_Equivalence_(cm),Moniteur_Resolution_ecran_(pixels),Logiciels_Systeme_exploitation,Logiciels_Version_(Bits),Processeur_Reference,Memoire_vive_Capacite_totale_(Go),Memoire_vive_Type,Stockage_Capacite_disque_dur_(Go),Stockage_Port_disque_dur,Stockage_Vitesse_rotation(tours/min),Stockage_Capacite_SSD_(Go),Stockage_Port_SSD,Dimensions_l_x_h_x_p_(cm),Dimensions_Poids_(g),Carte_video
Ordinateur portable Lenovo Ideapad 530s-14IKB-874,5.0,949.0,14.0,35.6,1920 x 1080,Windows 10,64.0,Intel Core i7-8550U,8.0,DDR4,,,,256.0,,22.6 x 32.34 x 1.64,1600.0,
Ordinateur portable Asus UX562FD-A1045T,,1999.0,15.0,38.1,3840 x 2160,Windows 10,64.0,Intel Core i7-8565U,16.0,DDR4,2000.0,S-ATA,5400.0,256.0,SATA,2.1 x 35.8 x 22.7,2000.0,NVIDIA GeForce GTX1050 avec 2 Go
PC Gamer Asus Pack GL703GM-EE232T + sac à dos + souris,4.6000000000000005,1399.0,17.0,43.2,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,8.0,DDR4,1000.0,S-ATA,5400.0,256.0,SATA,2.5 x 41.8 x 28,2900.0,NVIDIA GeForce GTX1060 avec 6 Go GDDR5
PC Gamer HP OMEN 15-dc1002nf,,1709.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8750H,16.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,256.0,PCI Express,36 x 2.5 x 26.3,2400.0,NVIDIA GeForce RTX 2060 6Go
Ordinateur portable Acer A515-52G-79GT,,799.7,15.6,39.6,1920 x 1280,Windows 10 Famille,64.0,Intel Core i7 8565U,6.0,DDR4,1000.0,,,128.0,,36.34 x 1.79 x 24.75,1800.0,NVIDIA GeForce MX130 avec 2 Go DDR3
Ordinateur portable HP Envy x360 15-cn1004nf,,1399.0,15.6,39.6,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,12.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,256.0,PCI Express,24.6 x 1.89 x 35.9,2200.0,NVIDIA GeForce MX 150 avec 4 GO GDDR5
Ordinateur portable HP Spectre x360 13-ap0011nf,,1499.0,13.3,33.8,1920 x 1080,Windows 10,64.0,Intel Core i7 8565U,8.0,DDR4 SDRAM,,,,256.0,PCI Express,21.79 x 1.47 x 30.88,1300.0,
PC Gamer Asus SCAR2-G515GW-ES023R,,2429.0,15.0,38.1,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,16.0,DDR4,1000.0,S-ATA,5400.0,256.0,PCI Express,2.57 x 36.1 x 26.2,2400.0,NVIDIA GeForce RTX2070 avec 8 Go
PC Gamer HP OMEN 17-an106nf,3.0,1299.0,17.3,43.9,1920 x 1080,Windows 10,64.0,Intel Core i7-8750H,12.0,DDR4 SDRAM,1000.0,S-ATA,7200.0,128.0,PCI Express,30.4 x 3.3 x 42.3,3800.0,NVIDIA GeForce GTX1050 avec 4 Go GDDR5
Ordinateur portable MSI P65 Creator 8RD-205FR,,1799.0,15.6,39.6,1920 x 1080,Windows 10 Famille,64.0,Intel Core i7 8750H,16.0,DDR4,,,,512.0,NvMe PCI Express,24.77 x 35.77 x 1.79,1900.0,NVIDIA GeForce GTX1050 TI avec 4 Go GDDR5
